Datum	Vreme	Sifra	Domacin	Gost	1	X	2	GR	U	O	Yes	No
MATCH_NAME:Xtip Strelci												
LEAGUE_NAME: Kvoteri												
19.5.2025	20:00		Varnicic D.					2.5	1.9	1.8		
19.5.2025	20:00		Jajcevic D.					1.5	2	1.7		
19.5.2025	20:00		Mikic D.					0.5	1.65	2.1		
19.5.2025	20:00		Petkovic J.					1.5	1.6	2.2		
19.5.2025	20:00		Trifunovic A.					1.5	1.85	1.85		
19.5.2025	20:00		Marjanovic M.					1.5	1.8	1.9		
19.5.2025	20:00											
19.5.2025	20:00											
19.5.2025	20:00											
19.5.2025	20:00											
19.5.2025	20:00											
19.5.2025	20:00											
19.5.2025	20:00											
19.5.2025	20:00											
												
												
												
LEAGUE_NAME: Gaucosi												
19.5.2025	20:00		Jakovljevic M.					1.5	1.85	1.85		
19.5.2025	20:00		Jovanovic N.					0.5	2.2	1.6		
19.5.2025	20:00		Bocarac N.					2.5	1.7	2		
19.5.2025	20:00		Lozo N.					0.5	1.85	1.85		
19.5.2025	20:00		Cmiljanic A.					0.5	1.85	1.85		
19.5.2025	20:00		Jukovic H.					1.5	1.75	1.95		
19.5.2025	20:00		Prodanovic B.					0.5	1.8	1.9		
